micro;time;excel time;peak;average;RMS
micro;12:03:05.577;44449.50214788194;40.588;25.115;27.193
micro;12:03:05.696;44449.502149259264;36.777;24.721;26.605
micro;12:03:05.837;44449.5021508912;39.085;26.592;28.495
micro;12:03:05.956;44449.50215226852;39.085;26.459;28.539
micro;12:03:06.089;44449.50215380787;39.825;26.764;28.777
micro;12:03:06.217;44449.50215528935;38.790;26.229;28.083
micro;12:03:06.335;44449.50215665509;38.690;25.405;27.534
micro;12:03:06.474;44449.50215826389;37.501;25.809;27.732
micro;12:03:06.596;44449.502159675925;37.025;25.409;27.335
micro;12:03:06.736;44449.502161296296;36.258;25.827;27.512
micro;12:03:06.855;44449.50216267361;37.730;24.551;26.524
micro;12:03:06.975;44449.5021640625;36.258;24.540;26.421
micro;12:03:07.114;44449.50216567129;35.563;23.635;25.488
micro;12:03:07.236;44449.50216708334;37.147;24.281;26.185
micro;12:03:07.376;44449.50216870371;36.124;23.702;25.728
micro;12:03:07.494;44449.50217006945;43.637;24.602;26.983
micro;12:03:07.613;44449.50217144676;37.385;24.139;26.202
micro;12:03:07.754;44449.502173078705;35.987;23.186;25.088
micro;12:03:07.870;44449.5021744213;36.258;23.541;25.420
micro;12:03:08.017;44449.50217612268;35.563;22.925;24.849
micro;12:03:08.132;44449.5021774537;35.417;23.111;25.082
micro;12:03:08.253;44449.50217885416;34.807;23.077;24.971
micro;12:03:08.386;44449.50218039352;35.987;24.041;26.063
micro;12:03:08.514;44449.502181874996;35.117;22.274;24.226
micro;12:03:08.652;44449.50218347222;35.848;22.075;24.083
micro;12:03:08.777;44449.50218491898;36.124;23.063;25.024
micro;12:03:08.888;44449.5021862037;35.707;23.469;25.395
micro;12:03:09.034;44449.50218789352;35.269;22.900;24.940
micro;12:03:09.154;44449.50218928241;35.117;22.995;25.040
micro;12:03:09.294;44449.50219090278;39.181;22.910;24.959
micro;12:03:09.411;44449.50219225694;36.391;23.567;25.499
micro;12:03:09.534;44449.50219368056;35.848;23.153;25.168
micro;12:03:09.672;44449.502195277775;35.117;23.005;24.905
micro;12:03:09.794;44449.50219668982;35.987;22.211;24.290
micro;12:03:09.935;44449.50219832176;35.269;23.065;24.923
micro;12:03:10.053;44449.5021996875;35.269;23.504;25.475
micro;12:03:10.172;44449.50220106481;34.807;22.794;24.673
micro;12:03:10.306;44449.50220261574;56.483;32.195;35.356
micro;12:03:10.435;44449.502204108794;47.959;30.908;33.318
micro;12:03:10.577;44449.50220575232;40.341;25.062;27.268
micro;12:03:10.693;44449.502207094905;37.953;23.993;25.832
micro;12:03:10.811;44449.502208460646;35.563;23.620;25.583
micro;12:03:10.946;44449.50221002314;42.212;26.346;28.511
micro;12:03:11.078;44449.50221155093;49.855;32.959;35.384
micro;12:03:11.215;44449.50221313657;44.454;28.941;31.302
micro;12:03:11.332;44449.50221449074;38.486;25.978;27.814
micro;12:03:11.451;44449.50221586805;41.868;26.198;28.420
micro;12:03:11.594;44449.50221752315;38.486;24.483;26.475
micro;12:03:11.710;44449.502218865746;37.616;25.135;27.140
micro;12:03:11.856;44449.50222055556;74.675;45.000;50.260
micro;12:03:11.976;44449.50222194444;87.751;61.578;67.350
micro;12:03:12.089;44449.50222325232;55.763;32.204;36.634
micro;12:03:12.235;44449.50222494213;52.869;29.461;33.318
micro;12:03:12.349;44449.502226261575;62.594;33.479;39.111
micro;12:03:12.495;44449.502227951394;53.045;30.774;34.377
micro;12:03:12.609;44449.50222927083;50.344;29.863;33.661
micro;12:03:12.742;44449.50223081018;56.902;33.539;37.573
micro;12:03:12.886;44449.50223247685;51.732;27.041;32.407
micro;12:03:12.987;44449.502233645835;39.085;25.210;27.112
micro;12:03:13.133;44449.50223533565;63.131;33.565;40.464
micro;12:03:13.259;44449.50223679398;38.062;26.349;28.321
micro;12:03:13.377;44449.50223815972;49.278;28.123;31.121
micro;12:03:13.511;44449.50223971065;68.530;42.295;48.608
micro;12:03:13.631;44449.50224109954;38.276;25.198;27.177
micro;12:03:13.774;44449.50224275463;34.648;22.991;24.810
micro;12:03:13.889;44449.50224408565;36.521;23.208;25.125
micro;12:03:14.009;44449.502245474534;37.266;22.958;24.901
micro;12:03:14.147;44449.50224707176;42.671;26.015;28.601
micro;12:03:14.267;44449.502248460645;40.000;24.216;26.468
micro;12:03:14.413;44449.502250150465;34.807;22.953;24.887
micro;12:03:14.532;44449.50225152778;33.625;21.674;23.548
micro;12:03:14.653;44449.50225292824;35.707;23.374;25.273
micro;12:03:14.791;44449.50225452546;36.258;24.249;26.147
micro;12:03:14.912;44449.50225592592;36.258;23.116;25.121
micro;12:03:15.054;44449.502257569446;40.424;25.176;27.120
micro;12:03:15.168;44449.50225888889;50.103;28.582;31.156
micro;12:03:15.289;44449.50226028935;48.974;30.009;32.299
micro;12:03:15.437;44449.502262002316;49.426;28.363;31.793
micro;12:03:15.555;44449.50226336806;53.979;30.018;34.054
micro;12:03:15.691;44449.50226494213;53.006;28.960;34.377
micro;12:03:15.810;44449.50226631944;37.953;25.106;27.022
micro;12:03:15.937;44449.50226778935;36.124;24.454;26.404
micro;12:03:16.071;44449.50226934028;39.370;23.873;26.123
micro;12:03:16.187;44449.502270682875;48.432;28.561;30.866
micro;12:03:16.329;44449.50227232639;68.373;33.630;41.702
micro;12:03:16.447;44449.50227369213;63.167;36.636;42.197
micro;12:03:16.567;44449.50227508102;70.259;47.000;51.606
micro;12:03:16.712;44449.50227675926;52.710;28.116;33.233
micro;12:03:16.831;44449.50227813657;35.269;22.868;24.750
micro;12:03:17.483;44449.50228568287;36.521;23.399;25.321
micro;12:03:17.604;44449.502287083335;35.563;23.226;24.992
micro;12:03:17.711;44449.50228832176;34.151;21.572;23.554
micro;12:03:17.844;44449.502289861106;34.648;22.512;24.417
micro;12:03:17.967;44449.50229128472;33.442;22.110;24.067
