battery;time;excel time;level [%];voltage;temperature;mixed
battery;12:09:47.538;44449.50680020833;33.000;3.724;28.500;74.000
battery;12:09:48.010;44449.50680567129;33.000;3.724;28.500;74.000
battery;12:09:49.027;44449.50681744213;33.000;3.765;28.300;74.000
battery;12:09:50.047;44449.506829247686;33.000;3.765;28.300;74.000
battery;12:09:51.092;44449.50684134259;33.000;3.765;28.300;74.000
battery;12:09:52.107;44449.50685309028;33.000;3.765;28.300;74.000
battery;12:09:53.131;44449.50686494213;33.000;3.765;28.300;74.000
battery;12:09:54.148;44449.50687671296;33.000;3.765;28.300;74.000
battery;12:09:55.167;44449.50688850695;33.000;3.765;28.300;74.000
battery;12:09:56.208;44449.506900555556;33.000;3.765;28.300;74.000
battery;12:09:57.228;44449.50691236111;33.000;3.765;28.300;74.000
battery;12:09:58.248;44449.506924166664;33.000;3.765;28.300;74.000
battery;12:09:59.273;44449.50693603009;33.000;3.765;28.300;74.000
battery;12:10:00.291;44449.5069478125;33.000;3.765;28.300;74.000
battery;12:10:01.389;44449.506960520834;33.000;3.765;28.300;74.000
battery;12:10:02.409;44449.50697232639;33.000;3.765;28.300;74.000
battery;12:10:03.372;44449.50698347222;33.000;3.765;28.300;74.000
battery;12:10:04.446;44449.506995902775;33.000;3.765;28.300;74.000
battery;12:10:05.408;44449.50700703704;33.000;3.765;28.300;74.000
battery;12:10:06.507;44449.507019756944;33.000;3.765;28.300;74.000
battery;12:10:07.471;44449.50703091435;33.000;3.765;28.300;74.000
battery;12:10:08.492;44449.50704273148;33.000;3.765;28.300;74.000
battery;12:10:09.507;44449.50705447917;33.000;3.765;28.300;74.000
battery;12:10:10.532;44449.507066342594;33.000;3.765;28.300;74.000
battery;12:10:11.573;44449.50707839121;33.000;3.765;28.300;74.000
battery;12:10:12.765;44449.5070921875;33.000;3.765;28.300;74.000
battery;12:10:13.606;44449.50710192129;33.000;3.765;28.300;74.000
battery;12:10:14.627;44449.50711373842;33.000;3.765;28.300;74.000
battery;12:10:15.646;44449.50712553241;33.000;3.765;28.300;74.000
battery;12:10:16.688;44449.50713759259;33.000;3.765;28.300;74.000
battery;12:10:17.707;44449.50714938657;33.000;3.765;28.300;74.000
battery;12:10:18.729;44449.50716121528;33.000;3.765;28.300;74.000
battery;12:10:19.747;44449.507172997684;33.000;3.765;28.300;74.000
battery;12:10:20.767;44449.50718480324;33.000;3.765;28.300;74.000
battery;12:10:21.808;44449.50719685185;33.000;3.765;28.300;74.000
battery;12:10:22.827;44449.50720864584;33.000;3.765;28.300;74.000
battery;12:10:23.847;44449.507220451385;33.000;3.765;28.300;74.000
battery;12:10:24.867;44449.50723225695;33.000;3.765;28.300;74.000
battery;12:10:25.886;44449.507244050925;33.000;3.765;28.300;74.000
battery;12:10:26.930;44449.50725613426;33.000;3.765;28.300;74.000
battery;12:10:27.946;44449.50726789352;33.000;3.765;28.300;74.000
battery;12:10:28.966;44449.50727969907;33.000;3.765;28.300;74.000
battery;12:10:29.987;44449.5072915162;33.000;3.765;28.300;74.000
battery;12:10:31.007;44449.50730332176;33.000;3.765;28.300;74.000
battery;12:10:32.049;44449.50731538194;33.000;3.765;28.300;74.000
battery;12:10:33.066;44449.50732715278;33.000;3.765;28.300;74.000
battery;12:10:34.086;44449.507338958334;33.000;3.765;28.300;74.000
battery;12:10:35.107;44449.507350775464;33.000;3.765;28.300;74.000
battery;12:10:36.127;44449.50736258102;33.000;3.765;28.300;74.000
battery;12:10:37.169;44449.50737464121;33.000;3.765;28.300;74.000
battery;12:10:37.874;44449.507382800926;33.000;3.824;28.100;74.000
battery;12:10:38.186;44449.507386412035;33.000;3.824;28.100;74.000
battery;12:10:39.208;44449.50739824074;33.000;3.824;28.100;74.000
battery;12:10:40.225;44449.507410011574;33.000;3.824;28.100;74.000
battery;12:10:41.250;44449.507421875;33.000;3.824;28.100;74.000
battery;12:10:42.287;44449.50743387731;33.000;3.824;28.100;74.000
battery;12:10:43.307;44449.50744568287;33.000;3.824;28.100;74.000
battery;12:10:44.326;44449.50745747685;33.000;3.824;28.100;74.000
battery;12:10:45.349;44449.507469317134;33.000;3.824;28.100;74.000
battery;12:10:46.368;44449.50748111111;33.000;3.824;28.100;74.000
battery;12:10:47.407;44449.507493136574;33.000;3.827;28.100;74.000
battery;12:10:47.408;44449.50749314815;33.000;3.827;28.100;74.000
battery;12:10:48.428;44449.507504953704;33.000;3.827;28.100;74.000
battery;12:10:49.448;44449.50751675926;33.000;3.827;28.100;74.000
battery;12:10:49.828;44449.50752115741;33.000;3.820;28.100;74.000
battery;12:10:50.466;44449.50752854167;33.000;3.820;28.100;74.000
battery;12:10:51.488;44449.50754037037;33.000;3.820;28.100;74.000
battery;12:10:52.526;44449.50755238426;33.000;3.820;28.100;74.000
battery;12:10:53.547;44449.50756420138;33.000;3.820;28.100;74.000
battery;12:10:54.566;44449.50757599537;33.000;3.820;28.100;74.000
battery;12:10:55.589;44449.507587835644;33.000;3.820;28.100;74.000
battery;12:10:56.610;44449.507599652774;33.000;3.820;28.100;74.000
battery;12:10:57.650;44449.50761168981;33.000;3.820;28.100;74.000
battery;12:10:58.668;44449.50762347222;33.000;3.820;28.100;74.000
battery;12:10:59.688;44449.507635277776;33.000;3.820;28.100;74.000
battery;12:11:00.710;44449.50764710648;33.000;3.820;28.100;74.000
battery;12:11:01.735;44449.5076589699;33.000;3.820;28.100;74.000
battery;12:11:02.770;44449.507670949075;33.000;3.820;28.100;74.000
battery;12:11:03.788;44449.50768273148;33.000;3.820;28.100;74.000
battery;12:11:04.809;44449.50769454861;33.000;3.820;28.100;74.000
battery;12:11:05.446;44449.50770192129;33.000;3.820;28.100;74.000
battery;12:11:05.449;44449.50770195602;33.000;3.817;28.400;67.000
battery;12:11:05.565;44449.507703298616;33.000;3.715;28.500;67.000
battery;12:11:05.828;44449.50770634259;33.000;3.715;28.500;67.000
battery;12:11:06.848;44449.50771814815;33.000;3.715;28.500;67.000
battery;12:11:07.630;44449.507727199074;33.000;3.758;28.300;68.000
battery;12:11:07.751;44449.507728599536;33.000;3.759;28.300;66.000
battery;12:11:07.888;44449.507730185185;33.000;3.759;28.300;66.000
battery;12:11:08.207;44449.50773387731;33.000;3.759;28.300;66.000
battery;12:11:08.208;44449.50773388889;33.000;3.758;28.400;74.000
battery;12:11:08.266;44449.50773456019;33.000;3.739;28.500;74.000
battery;12:11:08.909;44449.507742002315;33.000;3.739;28.500;74.000
battery;12:11:09.670;44449.50775081018;33.000;3.783;28.300;74.000
battery;12:11:09.929;44449.50775380787;33.000;3.783;28.300;74.000
battery;12:11:10.949;44449.50776561342;33.000;3.783;28.300;74.000
battery;12:11:11.970;44449.507777430554;33.000;3.783;28.300;74.000
battery;12:11:13.010;44449.50778946759;33.000;3.783;28.300;74.000
battery;12:11:14.036;44449.507801342595;33.000;3.783;28.300;74.000
battery;12:11:15.056;44449.50781314815;33.000;3.783;28.300;74.000
battery;12:11:16.129;44449.507825567125;33.000;3.783;28.300;74.000
battery;12:11:17.092;44449.50783671296;33.000;3.783;28.300;74.000
battery;12:11:18.136;44449.5078487963;33.000;3.783;28.300;74.000
battery;12:11:19.155;44449.50786059028;33.000;3.783;28.300;74.000
battery;12:11:20.050;44449.50787094908;33.000;3.783;28.300;74.000
battery;12:11:20.051;44449.507870960646;33.000;3.763;28.400;67.000
battery;12:11:20.167;44449.50787230324;33.000;3.725;28.600;67.000
battery;12:11:20.168;44449.50787231482;33.000;3.725;28.600;67.000
battery;12:11:21.192;44449.50788416667;33.000;3.725;28.600;67.000
battery;12:11:22.213;44449.5078959838;33.000;3.725;28.600;67.000
battery;12:11:23.253;44449.50790802084;33.000;3.725;28.600;67.000
battery;12:11:24.273;44449.507919826385;33.000;3.725;28.600;67.000
battery;12:11:25.295;44449.50793165509;33.000;3.725;28.600;67.000
battery;12:11:26.315;44449.507943460645;33.000;3.725;28.600;67.000
battery;12:11:27.334;44449.50795525463;33.000;3.725;28.600;67.000
battery;12:11:28.428;44449.50796791667;33.000;3.725;28.600;67.000
battery;12:11:29.395;44449.50797910879;33.000;3.725;28.600;67.000
battery;12:11:30.407;44449.50799082176;33.000;3.725;28.600;67.000
battery;12:11:31.427;44449.50800262731;33.000;3.725;28.600;67.000
battery;12:11:32.450;44449.50801446759;33.000;3.725;28.600;67.000
